"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","PER-2h-A.tabular","PER-2h-B.tabular","PER-2h-C.tabular","PER-6h-A.tabular","PER-6h-B.tabular","PER-6h-C.tabular","PER-24h-A.tabular","PER-24h-B.tabular","PER-24h-C.tabular","cluster"
"dv.11269",-0.94913759167408,-3.0314993404557,-3.0314993404557,2.58666184252755,1.58615477773084,-0.608887827088102,1.77666318736294,1.53372225660422,1.30166638450825,-0.513367538713763,-0.760911236999782,0.110434426653329,1
"dv.129824",-1.99688023949043,-2.72308669723998,-2.7256129553444,1.67561231368469,1.76149238361499,1.72277557662797,1.0130171936574,0.925743794083814,0.926833629004419,-0.763410997974381,0.365578366305066,-0.182062366929141,1
"dv.129980",-1.48957222417234,-6.19306650147874,-6.19306650147874,1.21722276464304,2.28765141146211,1.4985464340698,2.54354277728107,1.04235582932936,1.67005320491405,1.65808717847065,1.46611816825496,0.492127458704795,1
"dv.139302",-4.79012272115402,-2.52852918753103,-3.14102366925764,1.51547427116309,1.41244017337987,1.3899293441045,2.09855402146974,1.990141561441,2.23992300824965,-0.229417772446128,-0.377353468315448,0.419984438896421,1
"dv.149583",-2.61694447810269,-3.79015889336001,-5.38143685722438,1.75528182866051,1.48914886156517,1.71243084889567,2.17534951833926,2.21264096230912,2.38980944946291,-0.0584650713401453,-0.160856488360577,0.273200319155169,1
"dv.20247",-1.91516046470455,-2.87915218934693,-2.24604951426382,1.56408514649745,0.834050811296795,1.26656307914957,1.47017882116344,1.30926532655204,1.23427859697121,-0.466405206319598,-0.0427614820159041,-0.128892924979701,1
"dv.2583",-3.3482517330738,-3.4722827187029,-3.09956736318503,2.59476526013463,2.21580788492019,2.58328422629678,2.02834122953925,1.70000734658589,1.427769348694,-0.912409077635484,-0.779287949174178,-0.938176454399349,1
"dv.8618",-2.54557407629591,-6.02472791399824,-2.50421622082065,2.05668201227898,1.48978827081635,1.81588667759612,1.04990679673259,0.910235647911456,1.00639376949855,0.564670665789349,0.780328518477386,1.40062585201401,1
"dv.96305",-3.46831693540286,-4.57493310769103,-4.57493310769103,2.93072772774198,2.71796855660075,2.72978199447663,2.33443114134848,1.86622365458604,1.63729438852225,-0.441130870195042,-0.382631237739918,-0.774482204556253,1
